component_id,major_category,label_zh,normalized_image_path,image_sha256,legacy_refs,canonical_term_key,canon_builder_status,needs_canon_builder_review,needs_human_review,review_notes,status_labels
COMP-100,节奏谱字,入乱,sources/qxby_component_atlas/images/jiezou_puzi/COMP-100_入乱.png,789318c02a8d197d2d818099f3bc06896c4d3e689e319ece0871bbfc84e416bc,,qxby::节奏谱字::入乱,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-111,节奏谱字,渐慢,sources/qxby_component_atlas/images/jiezou_puzi/COMP-111_渐慢.png,5d5fb37d75bb756c85ab689adf1cf616492020860460786e09c66c49d292556d,,qxby::节奏谱字::渐慢,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-112,节奏谱字,紧,sources/qxby_component_atlas/images/jiezou_puzi/COMP-112_紧.png,0aaf05a7a53ebe900a4834b68548e9a54d6f41d508b8e7fd58e6bb5c08e23011,,qxby::节奏谱字::紧,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-113,节奏谱字,缓,sources/qxby_component_atlas/images/jiezou_puzi/COMP-113_缓.png,f17c9618d4d33a885f09ee32b0ba952496aafbda855d262a838078d7fdb33c11,,qxby::节奏谱字::缓,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-114,节奏谱字,缓作,sources/qxby_component_atlas/images/jiezou_puzi/COMP-114_缓作.png,85a8a621959e745daed86ef1749f6f2e26a6b8e48a636d96c965a0ae8f857794,,qxby::节奏谱字::缓作,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-115,节奏谱字,蓄,sources/qxby_component_atlas/images/jiezou_puzi/COMP-115_蓄.png,e6ba6d57e5678d94a203ba087758c36ae8368910a3854d161638364f3f06e479,,qxby::节奏谱字::蓄,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-116,节奏谱字,虚,sources/qxby_component_atlas/images/jiezou_puzi/COMP-116_虚.png,b44c132f10b8ac3af50e5ed991c0d2a3e3db9c7f3099f2bb87b959a53fc31035,,qxby::节奏谱字::虚,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-117,节奏谱字,踢宕,sources/qxby_component_atlas/images/jiezou_puzi/COMP-117_踢宕.png,56f0da359591324cb306728c9cacb5b4a1f8da9271219bbd037e77d481847872,,qxby::节奏谱字::踢宕,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-118,节奏谱字,轻,sources/qxby_component_atlas/images/jiezou_puzi/COMP-118_轻.png,9db21106960912ab67bfc840d04bed09ecc0fa4f772da5be2ac1a2f27554677a,,qxby::节奏谱字::轻,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-119,节奏谱字,连,sources/qxby_component_atlas/images/jiezou_puzi/COMP-119_连.png,fa8da0909bb6072e45203e229630260aafd0abcb0ff8721c82eec546bbf8ed93,,qxby::节奏谱字::连,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-120,节奏谱字,重,sources/qxby_component_atlas/images/jiezou_puzi/COMP-120_重.png,fa5ed7d8655c911a81cdbb3b3db694689fab298d6462e58b3b8893b80672d90e,,qxby::节奏谱字::重,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-121,节奏谱字,顿,sources/qxby_component_atlas/images/jiezou_puzi/COMP-121_顿.png,55d99bf9d53b2f82d695fc3ab9a44591b79374d7bb5cd55c7d84ca279a45f3d1,,qxby::节奏谱字::顿,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-122,通用谱字,不动,sources/qxby_component_atlas/images/tongyong_puzi/COMP-122_不动.png,08c7fbbd8213f633fa277d0b5bbb02147fff912df51e783f515c7ef7ce7a1dde,,qxby::通用谱字::不动,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-123,通用谱字,二作,sources/qxby_component_atlas/images/tongyong_puzi/COMP-123_二作.png,e16beace7845cf0f28716a0b35e81784b25e011a7452839eddc5f2abf5daeaba,,qxby::通用谱字::二作,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-124,通用谱字,从勾再作,sources/qxby_component_atlas/images/tongyong_puzi/COMP-124_从勾再作.png,8f4e4a49b6af0eba56c11c40b235655884da1718dc266be499a3f4ddeb2cd755,,qxby::通用谱字::从勾再作,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-125,通用谱字,从头再作,sources/qxby_component_atlas/images/tongyong_puzi/COMP-125_从头再作.png,e4dabdb59e58dd40a686ad76922bf609d954b54d77594ca0f723f588672a142a,,qxby::通用谱字::从头再作,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-126,通用谱字,再作,sources/qxby_component_atlas/images/tongyong_puzi/COMP-126_再作.png,c352d0feed3627ce41c7b4f60c5e211c7bc03beff0fff5ce54a8e9702fb0b46a,,qxby::通用谱字::再作,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-127,通用谱字,句,sources/qxby_component_atlas/images/tongyong_puzi/COMP-127_句.png,9aeefa601d1d74c4c796a7f7f44e8257664ef4407a170e4b306cf8b2bcd2bcce,,qxby::通用谱字::句,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-128,通用谱字,就,sources/qxby_component_atlas/images/tongyong_puzi/COMP-128_就.png,c5c6ca396499df8c03ba7d817bd3694eeb3f2d15cdb9cd1826349b522f2a83e9,COMP-023,qxby::通用谱字::就,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-129,通用谱字,换,sources/qxby_component_atlas/images/tongyong_puzi/COMP-129_换.png,5bc363bad77b6b02e8482014742281040bc08288605ab3df1bcbf6b9eeb4eecc,,qxby::通用谱字::换,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-130,通用谱字,操终,sources/qxby_component_atlas/images/tongyong_puzi/COMP-130_操终.png,8238de5691bea79b6e96f391b26ac2d23e2677266f26dd6a4e6d4eb13c2c4f29,,qxby::通用谱字::操终,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-131,通用谱字,曲终,sources/qxby_component_atlas/images/tongyong_puzi/COMP-131_曲终.png,ab376873989a551682d84698a12af2e0d5b53116844fb74f9ab72ff32fe3b00b,,qxby::通用谱字::曲终,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-132,通用谱字,末,sources/qxby_component_atlas/images/tongyong_puzi/COMP-132_末.png,b7af905828aa0836ab116ef81fe43c1144c1d407d6758a1893d8f37e17e8d0cb,,qxby::通用谱字::末,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-133,通用谱字,次,sources/qxby_component_atlas/images/tongyong_puzi/COMP-133_次.png,0a6fe3824ddfe46c93a034f0e3207753750093879c1e4bfd9e8525b5f20ea708,,qxby::通用谱字::次,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-134,通用谱字,段,sources/qxby_component_atlas/images/tongyong_puzi/COMP-134_段.png,374af508a453c233ef0f11f92aeb9880afc9789ba7c5cf15442021d5febb3bf0,,qxby::通用谱字::段,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-135,通用谱字,至,sources/qxby_component_atlas/images/tongyong_puzi/COMP-135_至.png,51a40a84bb0fd5998d27093f4dcb8e7ee0c2d084c1f69b9dcadbc403f7f829c8,,qxby::通用谱字::至,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-136,通用谱字,调终,sources/qxby_component_atlas/images/tongyong_puzi/COMP-136_调终.png,fe0e8dab97b3b58e47088f9a83f7aac14d9500a50f5a808c67c7b84d5097cb9d,,qxby::通用谱字::调终,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-137,音位谱字,弦,sources/qxby_component_atlas/images/yinwei_puzi/COMP-137_弦.png,97a5005beacf8bc786ac49c5220ad414b875c7c6daeabf9c332393a153752782,,qxby::音位谱字::弦,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
COMP-138,音位谱字,徽,sources/qxby_component_atlas/images/yinwei_puzi/COMP-138_徽.png,5d7081786fae7408249cf74e2dd2cc7b2cfac97ac9417bb38b4d4d0c40884ef8,,qxby::音位谱字::徽,seed_pending,true,true,Seed crosswalk only; not score event authority; not Dapu IR authority.,QXBY_FULL_COMPONENT_ATLAS_REFERENCE|SOURCE_REFERENCE_IMAGE|USER_PROVIDED_QXBY_COMPONENT_SET|NOT_SCORE_EVENT_AUTHORITY|NOT_DAPU_IR_AUTHORITY|NOT_SAMPLE_INGEST|NOT_ML_TRAINING_DATA|NOT_RENDER_OUTPUT|NEEDS_CANON_BUILDER_CROSSWALK_REVIEW
