event_id,phrase_id,section_id,source_version_id,source_sample_id,source_take_id,source_audio,target_attack_time_s,render_anchor_s,phrase_play_start_s,phrase_play_end_s,phrase_tail_end_s,revision_applied,user_review_source,gpt_review_decision,flags
XWC_P03_N01,XWC_P03_LOCAL_PHRASE,XWC_P03,C_QINIST_STYLE,RECD2_BATCH02_T014,T014,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T014_clean_preview.wav,26.196,1.932,24.264,37.666,36.352,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P03_N02,XWC_P03_LOCAL_PHRASE,XWC_P03,C_QINIST_STYLE,RECD2_BATCH02_T015,T015,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T015_clean_preview.wav,27.246,0.880,24.264,37.666,36.352,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P03_N03,XWC_P03_LOCAL_PHRASE,XWC_P03,C_QINIST_STYLE,RECD2_BATCH02_T016,T016,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T016_clean_preview.wav,28.276,0.900,24.264,37.666,36.352,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P03_N04,XWC_P03_LOCAL_PHRASE,XWC_P03,C_QINIST_STYLE,RECD2_BATCH02_T018,T018,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T018_clean_preview.wav,29.346,0.262,24.264,37.666,36.352,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P03_N05,XWC_P03_LOCAL_PHRASE,XWC_P03,C_QINIST_STYLE,RECD2_BATCH02_T019,T019,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T019_clean_preview.wav,30.496,0.147,24.264,37.666,36.352,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P03_N06,XWC_P03_LOCAL_PHRASE,XWC_P03,C_QINIST_STYLE,RECD2_BATCH03_T021,T021,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T021_clean_preview.wav,33.946,0.831,24.264,37.666,36.352,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P04_N01,XWC_P04_LOCAL_PHRASE,XWC_P04,C_QINIST_STYLE,RECD2_BATCH03_T022,T022,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T022_clean_preview.wav,37.696,1.252,36.444,49.166,47.295,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P04_N02,XWC_P04_LOCAL_PHRASE,XWC_P04,C_QINIST_STYLE,RECD2_BATCH03_T023,T023,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T023_clean_preview.wav,38.746,1.184,36.444,49.166,47.295,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P04_N03,XWC_P04_LOCAL_PHRASE,XWC_P04,C_QINIST_STYLE,RECD2_BATCH03_T024,T024,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T024_clean_preview.wav,39.776,0.794,36.444,49.166,47.295,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P04_N04,XWC_P04_LOCAL_PHRASE,XWC_P04,C_QINIST_STYLE,RECD2_BATCH03_T026,T026,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T026_clean_preview.wav,40.846,1.991,36.444,49.166,47.295,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P04_N05,XWC_P04_LOCAL_PHRASE,XWC_P04,C_QINIST_STYLE,RECD2_BATCH03_T027,T027,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T027_clean_preview.wav,41.996,0.165,36.444,49.166,47.295,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P04_N06,XWC_P04_LOCAL_PHRASE,XWC_P04,C_QINIST_STYLE,RECD2_BATCH03_T029,T029,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T029_clean_preview.wav,45.446,1.800,36.444,49.166,47.295,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P05_N01,XWC_P05_LOCAL_PHRASE,XWC_P05,C_QINIST_STYLE,RECD2_BATCH03_T030,T030,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T030_clean_preview.wav,49.196,0.886,47.745,60.666,58.671,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P05_N02,XWC_P05_LOCAL_PHRASE,XWC_P05,C_QINIST_STYLE,RECD2_BATCH04_T031,T031,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T031_clean_preview.wav,50.246,2.501,47.745,60.666,58.671,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P05_N03,XWC_P05_LOCAL_PHRASE,XWC_P05,C_QINIST_STYLE,RECD2_BATCH04_T032,T032,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T032_clean_preview.wav,51.276,0.217,47.745,60.666,58.671,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P05_N04,XWC_P05_LOCAL_PHRASE,XWC_P05,C_QINIST_STYLE,RECD2_BATCH04_T034,T034,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T034_clean_preview.wav,52.346,0.270,47.745,60.666,58.671,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P05_N05,XWC_P05_LOCAL_PHRASE,XWC_P05,C_QINIST_STYLE,RECD2_BATCH04_T035,T035,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T035_clean_preview.wav,53.496,0.137,47.745,60.666,58.671,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P05_N06,XWC_P05_LOCAL_PHRASE,XWC_P05,C_QINIST_STYLE,RECD2_BATCH04_T037,T037,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T037_clean_preview.wav,56.946,0.863,47.745,60.666,58.671,C_QINIST_STYLE->C_QINIST_STYLE: 同第2句,C_QINIST_STYLE/同第2句/同第2句/[],"C_QINIST_STYLE preferred as base, expand same-as-P02 rhythm.",rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P06_N01,XWC_P06_LOCAL_PHRASE,XWC_P06,B_PHRASE,RECD2_BATCH04_T038,T038,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T038_clean_preview.wav,60.696,0.632,60.064,69.966,67.960,B_PHRASE->B_PHRASE: 同第1句; C_QINIST_STYLE->B_PHRASE: 同第1句,B_PHRASE/同第1句/同第1句/[]; C_QINIST_STYLE/同第1句/同第1句/[],"B_PHRASE preferred as base, expand same-as-P01 rhythm.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P06_N02,XWC_P06_LOCAL_PHRASE,XWC_P06,B_PHRASE,RECD2_BATCH04_T039,T039,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T039_clean_preview.wav,61.946,1.522,60.064,69.966,67.960,B_PHRASE->B_PHRASE: 同第1句; C_QINIST_STYLE->B_PHRASE: 同第1句,B_PHRASE/同第1句/同第1句/[]; C_QINIST_STYLE/同第1句/同第1句/[],"B_PHRASE preferred as base, expand same-as-P01 rhythm.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P06_N03,XWC_P06_LOCAL_PHRASE,XWC_P06,B_PHRASE,RECD2_BATCH05_T041,T041,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch05/clean_previews/T041_clean_preview.wav,63.246,1.712,60.064,69.966,67.960,B_PHRASE->B_PHRASE: 同第1句; C_QINIST_STYLE->B_PHRASE: 同第1句,B_PHRASE/同第1句/同第1句/[]; C_QINIST_STYLE/同第1句/同第1句/[],"B_PHRASE preferred as base, expand same-as-P01 rhythm.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P06_N04,XWC_P06_LOCAL_PHRASE,XWC_P06,B_PHRASE,RECD2_BATCH05_T043,T043,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch05/clean_previews/T043_clean_preview.wav,66.546,1.534,60.064,69.966,67.960,B_PHRASE->B_PHRASE: 同第1句; C_QINIST_STYLE->B_PHRASE: 同第1句,B_PHRASE/同第1句/同第1句/[]; C_QINIST_STYLE/同第1句/同第1句/[],"B_PHRASE preferred as base, expand same-as-P01 rhythm.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P07_N01,XWC_P07_LOCAL_PHRASE,XWC_P07,B_PHRASE,RECD2_BATCH05_T044,T044,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch05/clean_previews/T044_clean_preview.wav,69.996,0.647,69.349,79.266,77.536,C_QINIST_STYLE->B_PHRASE: 同第1句; B_PHRASE->B_PHRASE: 同第1句,C_QINIST_STYLE/同第1句/同第1句/[]; B_PHRASE/同第1句/同第1句/[],"B_PHRASE preferred as base, expand same-as-P01 rhythm.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P07_N02,XWC_P07_LOCAL_PHRASE,XWC_P07,B_PHRASE,RECD2_BATCH05_T045,T045,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch05/clean_previews/T045_clean_preview.wav,71.246,0.821,69.349,79.266,77.536,C_QINIST_STYLE->B_PHRASE: 同第1句; B_PHRASE->B_PHRASE: 同第1句,C_QINIST_STYLE/同第1句/同第1句/[]; B_PHRASE/同第1句/同第1句/[],"B_PHRASE preferred as base, expand same-as-P01 rhythm.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P07_N03,XWC_P07_LOCAL_PHRASE,XWC_P07,B_PHRASE,RECD2_BATCH05_T047,T047,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch05/clean_previews/T047_clean_preview.wav,72.546,0.406,69.349,79.266,77.536,C_QINIST_STYLE->B_PHRASE: 同第1句; B_PHRASE->B_PHRASE: 同第1句,C_QINIST_STYLE/同第1句/同第1句/[]; B_PHRASE/同第1句/同第1句/[],"B_PHRASE preferred as base, expand same-as-P01 rhythm.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P07_N04,XWC_P07_LOCAL_PHRASE,XWC_P07,B_PHRASE,RECD2_BATCH05_T049,T049,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch05/clean_previews/T049_clean_preview.wav,75.846,1.556,69.349,79.266,77.536,C_QINIST_STYLE->B_PHRASE: 同第1句; B_PHRASE->B_PHRASE: 同第1句,C_QINIST_STYLE/同第1句/同第1句/[]; B_PHRASE/同第1句/同第1句/[],"B_PHRASE preferred as base, expand same-as-P01 rhythm.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P08_N01,XWC_P08_LOCAL_PHRASE,XWC_P08,B_PHRASE,RECD2_BATCH05_T050,T050,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch05/clean_previews/T050_clean_preview.wav,79.296,1.879,77.417,88.566,87.113,C_QINIST_STYLE->B_PHRASE: 同第1句; B_PHRASE->B_PHRASE: 同第1句,C_QINIST_STYLE/同第1句/同第1句/[]; B_PHRASE/同第1句/同第1句/[],"B_PHRASE preferred as base, expand same-as-P01 rhythm.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P08_N02,XWC_P08_LOCAL_PHRASE,XWC_P08,B_PHRASE,RECD2_BATCH06_T052,T052,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch06/clean_previews/T052_clean_preview.wav,80.546,1.193,77.417,88.566,87.113,C_QINIST_STYLE->B_PHRASE: 同第1句; B_PHRASE->B_PHRASE: 同第1句,C_QINIST_STYLE/同第1句/同第1句/[]; B_PHRASE/同第1句/同第1句/[],"B_PHRASE preferred as base, expand same-as-P01 rhythm.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P08_N03,XWC_P08_LOCAL_PHRASE,XWC_P08,B_PHRASE,RECD2_BATCH06_T054,T054,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch06/clean_previews/T054_clean_preview.wav,81.846,0.836,77.417,88.566,87.113,C_QINIST_STYLE->B_PHRASE: 同第1句; B_PHRASE->B_PHRASE: 同第1句,C_QINIST_STYLE/同第1句/同第1句/[]; B_PHRASE/同第1句/同第1句/[],"B_PHRASE preferred as base, expand same-as-P01 rhythm.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P08_N04,XWC_P08_LOCAL_PHRASE,XWC_P08,B_PHRASE,RECD2_BATCH06_T056,T056,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch06/clean_previews/T056_clean_preview.wav,85.146,0.376,77.417,88.566,87.113,C_QINIST_STYLE->B_PHRASE: 同第1句; B_PHRASE->B_PHRASE: 同第1句,C_QINIST_STYLE/同第1句/同第1句/[]; B_PHRASE/同第1句/同第1句/[],"B_PHRASE preferred as base, expand same-as-P01 rhythm.",rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P09_N01,XWC_P09_LOCAL_PHRASE,XWC_P09,A_LITERAL,RECD2_BATCH06_T057,T057,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch06/clean_previews/T057_clean_preview.wav,88.596,2.784,85.812,97.866,96.582,D_TEACHING_DIAGNOSTIC->A_LITERAL: 把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,"B_PHRASE/把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？/[""context_take_overused""]; C_QINIST_STYLE/把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？/[""context_take_overused""]; D_TEACHING_DIAGNOSTIC/把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？/把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？/[""context_take_overused""]",Use A_LITERAL T057/T059/T061/T062; do not use T060/T071 context takes.,p09_context_take_overused_fixed|context_take_used=false|context_audio_trimmed=not_needed|duplicate_context_audio_avoided=true|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P09_N02,XWC_P09_LOCAL_PHRASE,XWC_P09,A_LITERAL,RECD2_BATCH06_T059,T059,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch06/clean_previews/T059_clean_preview.wav,89.846,0.236,85.812,97.866,96.582,D_TEACHING_DIAGNOSTIC->A_LITERAL: 把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,"B_PHRASE/把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？/[""context_take_overused""]; C_QINIST_STYLE/把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？/[""context_take_overused""]; D_TEACHING_DIAGNOSTIC/把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？/把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？/[""context_take_overused""]",Use A_LITERAL T057/T059/T061/T062; do not use T060/T071 context takes.,p09_context_take_overused_fixed|context_take_used=false|context_audio_trimmed=not_needed|duplicate_context_audio_avoided=true|source_context_role=context_candidate|experimental_render=true|production_grade=false|render_anchor_alignment=true
XWC_P09_N03,XWC_P09_LOCAL_PHRASE,XWC_P09,A_LITERAL,RECD2_BATCH07_T061,T061,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch07/clean_previews/T061_clean_preview.wav,91.146,1.551,85.812,97.866,96.582,D_TEACHING_DIAGNOSTIC->A_LITERAL: 把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,"B_PHRASE/把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？/[""context_take_overused""]; C_QINIST_STYLE/把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？/[""context_take_overused""]; D_TEACHING_DIAGNOSTIC/把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？/把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？/[""context_take_overused""]",Use A_LITERAL T057/T059/T061/T062; do not use T060/T071 context takes.,p09_context_take_overused_fixed|context_take_used=false|context_audio_trimmed=not_needed|duplicate_context_audio_avoided=true|experimental_render=true|production_grade=false|render_anchor_alignment=true
