render_set_id,version_id,phrase_id,section_id,boundary_status,phrase_start_s,phrase_end_s,phrase_play_start_s,phrase_play_end_s,phrase_tail_end_s,next_phrase_first_attack_s,phrase_end_policy,breath_points_s,cadence_point_s,review_status,gpt_review_pending,e_revision_plan_generated,e_generated,experimental_render,review_only,production_grade
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P03_LOCAL_PHRASE,XWC_P03,candidate,30.415,49.077,30.415,46.515,49.077,46.545,before_next_phrase_first_attack_minus_0.03s,36.533,43.617,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P03_LOCAL_PHRASE,XWC_P03,candidate,35.467,58.223,35.467,55.317,58.223,55.347,before_next_phrase_first_attack_minus_0.03s,43.010,51.744,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P04_LOCAL_PHRASE,XWC_P04,candidate,46.502,67.317,46.502,62.912,67.317,62.942,before_next_phrase_first_attack_minus_0.03s,52.738,59.958,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P04_LOCAL_PHRASE,XWC_P04,candidate,48.723,68.756,48.723,65.940,68.756,65.970,before_next_phrase_first_attack_minus_0.03s,55.265,62.841,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P04_LOCAL_PHRASE,XWC_P04,candidate,45.293,63.779,45.293,60.589,63.779,60.619,before_next_phrase_first_attack_minus_0.03s,51.105,57.836,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P04_LOCAL_PHRASE,XWC_P04,candidate,54.095,77.023,54.095,73.568,77.023,73.598,before_next_phrase_first_attack_minus_0.03s,61.495,70.063,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P05_LOCAL_PHRASE,XWC_P05,candidate,62.056,81.132,62.056,77.892,81.132,77.922,before_next_phrase_first_attack_minus_0.03s,68.074,75.042,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P05_LOCAL_PHRASE,XWC_P05,candidate,65.084,85.225,65.084,81.303,85.225,81.333,before_next_phrase_first_attack_minus_0.03s,71.247,78.384,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P05_LOCAL_PHRASE,XWC_P05,candidate,59.733,78.721,59.733,74.275,78.721,74.305,before_next_phrase_first_attack_minus_0.03s,65.259,71.657,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P05_LOCAL_PHRASE,XWC_P05,candidate,72.712,94.063,72.712,91.650,94.063,91.680,before_next_phrase_first_attack_minus_0.03s,79.908,88.241,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P06_LOCAL_PHRASE,XWC_P06,candidate,77.290,91.380,77.290,87.677,91.380,87.707,before_next_phrase_first_attack_minus_0.03s,81.237,85.807,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P06_LOCAL_PHRASE,XWC_P06,candidate,80.701,93.908,80.701,91.770,93.908,91.800,before_next_phrase_first_attack_minus_0.03s,84.907,89.778,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P06_LOCAL_PHRASE,XWC_P06,candidate,73.673,86.317,73.673,83.651,86.317,83.681,before_next_phrase_first_attack_minus_0.03s,77.465,81.855,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P06_LOCAL_PHRASE,XWC_P06,candidate,91.048,106.603,91.048,103.850,106.603,103.880,before_next_phrase_first_attack_minus_0.03s,95.913,101.546,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P07_LOCAL_PHRASE,XWC_P07,candidate,87.060,101.429,87.060,97.581,101.429,97.611,before_next_phrase_first_attack_minus_0.03s,91.058,95.687,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P07_LOCAL_PHRASE,XWC_P07,candidate,91.153,105.236,91.153,102.017,105.236,102.047,before_next_phrase_first_attack_minus_0.03s,95.281,100.061,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P07_LOCAL_PHRASE,XWC_P07,candidate,83.034,96.324,83.034,92.753,96.324,92.783,before_next_phrase_first_attack_minus_0.03s,86.727,91.004,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P07_LOCAL_PHRASE,XWC_P07,candidate,103.233,118.948,103.233,116.050,118.948,116.080,before_next_phrase_first_attack_minus_0.03s,108.103,113.743,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P08_LOCAL_PHRASE,XWC_P08,candidate,95.732,110.575,95.732,107.451,110.575,107.481,before_next_phrase_first_attack_minus_0.03s,100.185,105.342,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P08_LOCAL_PHRASE,XWC_P08,accepted,100.168,117.927,100.168,112.605,117.927,112.635,before_next_phrase_first_attack_minus_0.03s,104.894,110.366,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P08_LOCAL_PHRASE,XWC_P08,candidate,92.258,107.926,92.258,101.943,107.926,101.973,before_next_phrase_first_attack_minus_0.03s,95.938,100.200,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P08_LOCAL_PHRASE,XWC_P08,candidate,114.201,130.004,114.201,128.250,130.004,128.280,before_next_phrase_first_attack_minus_0.03s,119.540,125.721,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P09_LOCAL_PHRASE,XWC_P09,candidate,104.697,120.539,104.697,117.401,120.539,117.431,before_next_phrase_first_attack_minus_0.03s,109.525,115.114,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P09_LOCAL_PHRASE,XWC_P09,candidate,109.851,125.918,109.851,123.006,125.918,123.036,before_next_phrase_first_attack_minus_0.03s,114.850,120.638,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P09_LOCAL_PHRASE,XWC_P09,candidate,101.833,115.735,101.833,112.490,115.735,112.520,before_next_phrase_first_attack_minus_0.03s,105.883,110.572,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P09_LOCAL_PHRASE,XWC_P09,candidate,125.496,142.838,125.496,140.750,142.838,140.780,before_next_phrase_first_attack_minus_0.03s,131.293,138.004,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,A_LITERAL,XWC_P10_LOCAL_PHRASE,XWC_P10,candidate,116.371,140.721,116.371,140.721,140.721,,final_phrase_uses_render_duration_or_last_event_safe_tail,125.624,136.338,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,B_PHRASE,XWC_P10_LOCAL_PHRASE,XWC_P10,candidate,121.976,146.805,121.976,146.805,146.805,,final_phrase_uses_render_duration_or_last_event_safe_tail,131.411,142.336,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,C_QINIST_STYLE,XWC_P10_LOCAL_PHRASE,XWC_P10,candidate,111.460,134.605,111.460,134.605,134.605,,final_phrase_uses_render_duration_or_last_event_safe_tail,120.255,130.439,draft,true,false,false,true,true,false
R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,D_TEACHING_DIAGNOSTIC,XWC_P10_LOCAL_PHRASE,XWC_P10,candidate,139.720,166.573,139.720,166.573,166.573,,final_phrase_uses_render_duration_or_last_event_safe_tail,149.924,161.739,draft,true,false,false,true,true,false
