event_id,phrase_id,section_id,source_version_id,source_sample_id,source_take_id,source_audio,target_attack_time_s,render_anchor_s,phrase_play_start_s,phrase_play_end_s,phrase_tail_end_s,revision_applied,user_review_source,gpt_review_decision,flags,tail_policy,source_tail_policy,tail_preservation_policy,source_preview_refresh,source_preview_duration_s
XWC_P01_N01,XWC_P01_LOCAL_PHRASE,XWC_P01,E_REVIEWED,RECD2_BATCH01_T001,T001,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch01/clean_previews/T001_clean_preview.wav,2.817,2.716,2.697,9.225,14.182,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p01_class_tighten_n03_to_n04,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p01_class_tighten_n03_to_n04,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,6.800000
XWC_P03_N02,XWC_P03_LOCAL_PHRASE,XWC_P03,E_REVIEWED,RECD2_BATCH02_T015,T015,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T015_clean_preview.wav,18.314,0.880,17.494,25.251,27.874,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.080000
XWC_P03_N03,XWC_P03_LOCAL_PHRASE,XWC_P03,E_REVIEWED,RECD2_BATCH02_T016,T016,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T016_clean_preview.wav,19.001,0.900,17.494,25.251,27.874,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.640000
XWC_P03_N04,XWC_P03_LOCAL_PHRASE,XWC_P03,E_REVIEWED,RECD2_BATCH02_T018,T018,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T018_clean_preview.wav,19.714,0.262,17.494,25.251,27.874,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,5.920000
XWC_P03_N05,XWC_P03_LOCAL_PHRASE,XWC_P03,E_REVIEWED,RECD2_BATCH02_T019,T019,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch02/clean_previews/T019_clean_preview.wav,20.481,0.147,17.494,25.251,27.874,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,6.580000
XWC_P03_N06,XWC_P03_LOCAL_PHRASE,XWC_P03,E_REVIEWED,RECD2_BATCH03_T021,T021,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T021_clean_preview.wav,22.505,0.831,17.494,25.251,27.874,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,6.200000
XWC_P04_N01,XWC_P04_LOCAL_PHRASE,XWC_P04,E_REVIEWED,RECD2_BATCH03_T022,T022,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T022_clean_preview.wav,25.281,1.252,25.161,32.917,36.051,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.140000
XWC_P04_N02,XWC_P04_LOCAL_PHRASE,XWC_P04,E_REVIEWED,RECD2_BATCH03_T023,T023,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T023_clean_preview.wav,25.981,1.184,25.161,32.917,36.051,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,8.280000
XWC_P04_N03,XWC_P04_LOCAL_PHRASE,XWC_P04,E_REVIEWED,RECD2_BATCH03_T024,T024,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T024_clean_preview.wav,26.667,0.794,25.161,32.917,36.051,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,9.620000
XWC_P04_N04,XWC_P04_LOCAL_PHRASE,XWC_P04,E_REVIEWED,RECD2_BATCH03_T026,T026,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T026_clean_preview.wav,27.381,1.991,25.161,32.917,36.051,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.320000
XWC_P04_N05,XWC_P04_LOCAL_PHRASE,XWC_P04,E_REVIEWED,RECD2_BATCH03_T027,T027,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T027_clean_preview.wav,28.147,0.165,25.161,32.917,36.051,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.350000
XWC_P04_N06,XWC_P04_LOCAL_PHRASE,XWC_P04,E_REVIEWED,RECD2_BATCH03_T029,T029,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T029_clean_preview.wav,30.171,1.800,25.161,32.917,36.051,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.680000
XWC_P05_N01,XWC_P05_LOCAL_PHRASE,XWC_P05,E_REVIEWED,RECD2_BATCH03_T030,T030,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch03/clean_previews/T030_clean_preview.wav,32.947,0.886,32.827,40.584,44.855,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,10.321859
XWC_P05_N02,XWC_P05_LOCAL_PHRASE,XWC_P05,E_REVIEWED,RECD2_BATCH04_T031,T031,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T031_clean_preview.wav,33.647,2.501,32.827,40.584,44.855,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.240000
XWC_P05_N03,XWC_P05_LOCAL_PHRASE,XWC_P05,E_REVIEWED,RECD2_BATCH04_T032,T032,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T032_clean_preview.wav,34.334,0.217,32.827,40.584,44.855,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,6.850000
XWC_P05_N04,XWC_P05_LOCAL_PHRASE,XWC_P05,E_REVIEWED,RECD2_BATCH04_T034,T034,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T034_clean_preview.wav,35.047,0.270,32.827,40.584,44.855,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.070000
XWC_P05_N05,XWC_P05_LOCAL_PHRASE,XWC_P05,E_REVIEWED,RECD2_BATCH04_T035,T035,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T035_clean_preview.wav,35.814,0.137,32.827,40.584,44.855,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.160000
XWC_P05_N06,XWC_P05_LOCAL_PHRASE,XWC_P05,E_REVIEWED,RECD2_BATCH04_T037,T037,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T037_clean_preview.wav,37.838,0.863,32.827,40.584,44.855,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p02_class_tighten_n05_to_n06,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_12345_then_6_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p02_class_tighten_n05_to_n06,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.880000
XWC_P06_N01,XWC_P06_LOCAL_PHRASE,XWC_P06,E_REVIEWED,RECD2_BATCH04_T038,T038,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T038_clean_preview.wav,40.614,0.632,40.494,46.784,49.396,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p01_class_tighten_n03_to_n04,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p01_class_tighten_n03_to_n04,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,9.390000
XWC_P06_N02,XWC_P06_LOCAL_PHRASE,XWC_P06,E_REVIEWED,RECD2_BATCH04_T039,T039,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch04/clean_previews/T039_clean_preview.wav,41.447,1.522,40.494,46.784,49.396,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p01_class_tighten_n03_to_n04,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p01_class_tighten_n03_to_n04,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,7.480000
XWC_P06_N03,XWC_P06_LOCAL_PHRASE,XWC_P06,E_REVIEWED,RECD2_BATCH05_T041,T041,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/split_preview/batch05/clean_previews/T041_clean_preview.wav,42.314,1.712,40.494,46.784,49.396,E_REVIEWED->F_FINAL_REVIEWED: global tempo x1.5; f_p01_class_tighten_n03_to_n04,E_REVIEWED_USER_REVIEW,Use E_REVIEWED as base; keep attack timeline; use full_tail source previews; keep T008-safe T014 and P09 atomic takes.,rhythm_123_then_4_extended|experimental_render=true|production_grade=false|render_anchor_alignment=true|f_final_reviewed=true|experimental_render=true|production_grade=false|tail_policy=full_tail|smart_fade=false|f_p01_class_tighten_n03_to_n04,full_tail,full_tail,full_tail_no_smart_fade,regenerated_from_raw_or_split_manifest,8.700000
